"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
131.19,62.531,20,300,0.35146,-1.1827,1.674,2.2684,0.70141,0.054212,0.55637,0.48669,1.013e+05,-23.202,1.225
137.35,61.828,20,300,-0.35016,-2.115,1.8895,2.9228,0.97408,0.083221,0.81486,0.67589,1.0131e+05,-18.951,1.225
137.31,59.118,20,300,-1.0661,-2.0464,2.3684,3.318,0.95255,0.07445,0.76256,0.66095,1.0131e+05,-18.576,1.225
134.18,59.091,20,300,-1.0123,-1.618,2.2831,2.9972,0.94493,0.068292,0.72737,0.65567,1.0131e+05,-19.976,1.225
135.73,59.104,20,300,-1.1309,-1.8389,2.4262,3.2563,0.96625,0.072541,0.7583,0.67046,1.0131e+05,-18.995,1.225
131.14,59.893,20,300,-0.89939,-1.116,2.1658,2.6448,0.85917,0.060789,0.65437,0.59616,1.013e+05,-22.309,1.225
132.74,59.522,20,300,-1.0565,-1.3663,2.2547,2.8635,0.9216,0.063728,0.69418,0.63948,1.013e+05,-20.93,1.225
134.08,56.368,20,300,-1.3742,-1.1714,2.7428,3.3013,0.68907,0.089599,0.69097,0.47813,1.0131e+05,-17.792,1.225
135.61,55.076,20,300,-0.99086,-1.4878,2.6665,3.2235,0.51783,0.0884,0.5904,0.35931,1.0131e+05,-17.014,1.225
135.66,56.404,20,300,-1.2685,-1.6072,2.7346,3.4224,0.74358,0.069197,0.64317,0.51595,1.0131e+05,-17.879,1.225
137.23,55.125,20,300,-1.0776,-1.8219,2.685,3.4232,0.57314,0.063367,0.53716,0.39769,1.0131e+05,-17.716,1.225
135.92,53.95,20,300,-0.654,-1.5185,2.3414,2.8833,0.38172,0.10722,0.56294,0.26486,1.0131e+05,-16.898,1.225
137.43,53.937,20,300,-0.90813,-1.8578,2.4169,3.1876,0.43505,0.078108,0.50758,0.30187,1.0131e+05,-17.735,1.225
137.26,56.436,20,300,-1.2127,-1.905,2.6923,3.5188,0.75791,0.060498,0.61216,0.5259,1.0131e+05,-18.07,1.225
140.51,64.553,20,300,0.050868,-2.2543,1.631,2.8743,1.0233,0.10132,0.92211,0.71004,1.0131e+05,-16.606,1.225
143.66,64.563,20,300,-0.36845,-2.065,1.6642,2.8097,0.87675,0.086839,0.78929,0.60836,1.0131e+05,-15.23,1.225
140.51,61.846,20,300,-0.64497,-2.2785,1.98,3.1268,0.96833,0.09018,0.84595,0.6719,1.0131e+05,-17.151,1.225
143.67,61.858,20,300,-1.0127,-2.0774,2.0895,3.148,0.80248,0.069623,0.67425,0.55682,1.0131e+05,-16.154,1.225
140.5,59.149,20,300,-1.1531,-2.1465,2.3849,3.4219,0.84897,0.067638,0.6858,0.58908,1.0131e+05,-17.599,1.225
143.67,59.166,20,300,-1.3374,-1.9747,2.4647,3.4438,0.70357,0.050133,0.53653,0.48819,1.0131e+05,-17.253,1.225
156.24,51.427,20,300,-2.9316,-1.8017,-0.64987,3.6453,0.4235,0.14892,0.71094,0.29386,1.013e+05,-25.693,1.225
156.22,54.03,20,300,-2.7433,-1.9761,0.75253,3.5409,0.38021,0.094088,0.52738,0.26382,1.013e+05,-24.864,1.225
153.84,51.493,20,300,-3.1394,-2.0121,0.081866,3.8135,0.44744,0.10817,0.62404,0.31047,1.013e+05,-26.997,1.225
153.59,52.798,20,300,-2.9666,-2.0149,0.65847,3.6968,0.39206,0.086486,0.52299,0.27204,1.013e+05,-26.691,1.225
153.12,54.087,20,300,-2.7482,-2.1829,1.3646,3.8142,0.41,0.072333,0.48602,0.28449,1.013e+05,-25.153,1.225
153.12,53.072,20,300,-2.9135,-2.1088,0.89364,3.7608,0.40046,0.08047,0.50925,0.27787,1.013e+05,-26.338,1.225
154.69,50.254,20,300,-3.3755,-1.5951,-0.57279,3.8233,0.47186,0.15612,0.77425,0.32741,1.013e+05,-26.657,1.225
156.25,48.885,20,300,-3.1406,-1.4874,-1.1751,3.7536,0.50631,0.19795,0.90032,0.35131,1.013e+05,-24.202,1.225
155.91,48.892,20,300,-3.2132,-1.5098,-1.0667,3.7915,0.50782,0.19301,0.89035,0.35236,1.013e+05,-24.587,1.225
154.72,50.214,20,300,-3.3752,-1.5838,-0.59936,3.8229,0.47288,0.158,0.77975,0.32812,1.013e+05,-26.605,1.225
160.78,52.604,20,300,-1.8391,-0.81088,-1.6505,3.0163,0.23481,0.32727,0.78182,0.16293,1.013e+05,-23.721,1.225
160.76,53.909,20,300,-2.1821,-1.3474,0.30747,2.8448,0.18545,0.21441,0.54169,0.12868,1.013e+05,-24.817,1.225
162.07,52.638,20,300,-1.1799,-0.21117,-2.875,3.4291,0.19291,0.44738,0.81733,0.13386,1.013e+05,-22.242,1.225
162.19,53.92,20,300,-1.5316,-0.93895,-0.57339,2.6001,0.12879,0.37572,0.60617,0.089367,1.013e+05,-24.43,1.225
162.24,51.339,20,300,-1.0057,0.065474,-3.9995,4.2285,0.2693,0.32112,0.82715,0.18686,1.0131e+05,-18.609,1.225
160.77,51.312,20,300,-1.6825,-0.43876,-3.1523,3.7515,0.33369,0.32093,0.92627,0.23154,1.013e+05,-20.824,1.225
159.28,52.598,20,300,-2.2486,-1.2685,-0.93891,3.0465,0.26919,0.23182,0.70531,0.18678,1.013e+05,-24.582,1.225
159.32,51.33,20,300,-2.26,-1.0395,-2.0935,3.5069,0.36777,0.25585,0.86639,0.25518,1.013e+05,-22.906,1.225
159.27,53.916,20,300,-2.4618,-1.6662,0.49015,3.141,0.27132,0.13732,0.52401,0.18826,1.013e+05,-24.561,1.225
159.35,64.545,20,300,-1.7831,-0.60126,1.4646,2.4053,1.1203,0.028446,0.50393,0.77736,1.0131e+05,-14.699,1.225
159.35,61.836,20,300,-2.0573,-0.69094,1.3978,2.6039,0.97346,0.038173,0.53793,0.67546,1.0131e+05,-15.586,1.225
156.22,64.557,20,300,-1.6989,-0.92847,1.7256,2.6289,0.98829,0.028795,0.47438,0.68575,1.0131e+05,-14.814,1.225
156.23,61.851,20,300,-2.0885,-0.94868,1.7907,2.9354,0.88742,0.033756,0.48826,0.61576,1.0131e+05,-16.252,1.225
162.46,59.101,20,300,-2.2416,-0.70153,1.1407,2.6367,0.79983,0.051078,0.5646,0.55498,1.0131e+05,-16.213,1.225
162.48,61.818,20,300,-1.8451,-0.44304,1.0705,2.2007,1.052,0.041277,0.58006,0.72999,1.0131e+05,-14.729,1.225
159.35,59.137,20,300,-2.3675,-0.96989,1.3824,2.9635,0.70899,0.0596,0.56641,0.49195,1.0131e+05,-17.371,1.225
156.23,59.158,20,300,-2.4015,-1.1615,1.7627,3.2515,0.66801,0.053579,0.52051,0.46351,1.0131e+05,-18.309,1.225
175.08,57.626,20,300,-1.5657,-0.044807,0.76384,1.7434,0.73237,0.0524,0.55082,0.50818,1.0131e+05,-14.637,1.225
175.11,58.887,20,300,-1.3907,-0.039686,0.6994,1.5584,1.0508,0.04935,0.65038,0.72916,1.0131e+05,-14.699,1.225
173.47,57.669,20,300,-1.6225,-0.046241,0.77608,1.7997,0.65393,0.045672,0.48739,0.45375,1.0131e+05,-14.492,1.225
171.91,60.18,20,300,-1.27,-0.062728,0.71681,1.467,1.1369,0.044593,0.64009,0.78889,1.0131e+05,-14.282,1.225
171.89,57.663,20,300,-1.6579,-0.040927,0.78581,1.8358,0.69488,0.039428,0.46767,0.48216,1.0131e+05,-14.378,1.225
175.11,60.171,20,300,-1.0675,-0.070458,0.64434,1.2584,1.2893,0.05011,0.72579,0.89462,1.0131e+05,-14.736,1.225
168.73,60.065,20,300,-1.5446,-0.1208,0.78718,1.7443,1.0351,0.041183,0.58447,0.7182,1.0131e+05,-14.228,1.225
168.72,57.547,20,300,-1.8677,-0.077083,0.83579,2.0492,0.6262,0.032287,0.40398,0.43451,1.0131e+05,-14.485,1.225
170.31,57.63,20,300,-1.7709,-0.041428,0.81388,1.9499,0.59313,0.034463,0.4051,0.41156,1.0131e+05,-14.346,1.225
165.54,64.913,20,300,-1.3211,-0.18217,0.95541,1.6582,1.3445,0.03641,0.62158,0.93293,1.0131e+05,-13.907,1.225
168.74,65.354,20,300,-0.97444,-0.12025,0.85904,1.329,1.5346,0.038035,0.68165,1.0649,1.0131e+05,-13.989,1.225
165.53,62.215,20,300,-1.5421,-0.21169,0.86476,1.7947,1.1585,0.042355,0.62057,0.80388,1.0131e+05,-14.143,1.225
168.74,62.689,20,300,-1.1969,-0.071804,0.75087,1.4221,1.2937,0.044272,0.67624,0.89769,1.0131e+05,-13.98,1.225
165.48,59.529,20,300,-1.9193,-0.28959,0.89316,2.1431,0.92763,0.038432,0.53707,0.64366,1.0131e+05,-14.719,1.225
164.02,59.088,20,300,-2.166,-0.4617,0.99362,2.4363,0.83509,0.042142,0.53169,0.57945,1.0131e+05,-15.494,1.225
164,56.368,20,300,-2.6309,-0.56474,1.2523,2.9991,0.34547,0.04867,0.35348,0.23971,1.0131e+05,-17.871,1.225
165.45,56.915,20,300,-2.348,-0.1968,1.0128,2.5722,0.45948,0.036577,0.35327,0.31883,1.0131e+05,-15.895,1.225
162.44,55.074,20,300,-2.3425,-1.2835,1.1173,2.9994,0.15983,0.14607,0.37103,0.11091,1.013e+05,-22.884,1.225
162.45,56.404,20,300,-2.7218,-1.0596,1.4047,3.2755,0.36366,0.061009,0.41289,0.25233,1.0131e+05,-19.504,1.225
178.45,57.012,20,300,-1.5538,0.063027,0.79052,1.7505,0.7198,0.080656,0.66417,0.49945,1.0131e+05,-15.921,1.225
176.72,57.447,20,300,-1.5603,-0.023861,0.77025,1.7419,0.73451,0.062983,0.60312,0.50966,1.0131e+05,-15.126,1.225
175.06,56.396,20,300,-1.6023,-0.030513,0.8311,1.8067,0.39267,0.063782,0.43748,0.27247,1.0131e+05,-14.697,1.225
131.37,-86.591,20,300,8.2097,-2.1421,1.1181,8.5876,0.83025,0.07758,0.72282,0.57609,1.0132e+05,-6.1949,1.225
131.4,-81.158,20,300,6.8644,-2.4481,0.97647,7.4204,1.0426,0.10989,0.96513,0.72344,1.0132e+05,-7.2729,1.225
137.61,-86.578,20,300,7.6763,-2.3289,1.1164,8.1429,0.97743,0.090934,0.8518,0.67822,1.0132e+05,-8.8922,1.225
137.64,-81.142,20,300,6.7814,-2.9619,0.84324,7.5114,1.0089,0.096287,0.89064,0.70007,1.0131e+05,-10.939,1.225
125.16,-81.179,20,300,7.3979,-1.9317,1.0184,7.7558,0.9436,0.10109,0.87733,0.65474,1.0132e+05,-3.706,1.225
125.2,-75.751,20,300,6.0791,-2.2884,0.88011,6.6522,1.0629,0.13118,1.0613,0.73753,1.0132e+05,-4.3396,1.225
131.45,-75.724,20,300,6.1779,-3.2085,0.62787,7.0726,0.94729,0.10698,0.90806,0.6573,1.0132e+05,-8.9089,1.225
137.68,-75.703,20,300,6.481,-3.7424,0.23565,7.5396,0.81869,0.081384,0.73833,0.56807,1.0131e+05,-13.097,1.225
143.76,-87.121,20,300,7.4033,-2.5311,1.0518,7.9471,1.0267,0.087768,0.85795,0.71243,1.0131e+05,-11.802,1.225
143.79,-81.667,20,300,6.8838,-3.2519,0.58853,7.69,0.93183,0.07856,0.77391,0.64657,1.0131e+05,-14.246,1.225
150.05,-81.383,20,300,6.9706,-3.3081,0.20396,7.7636,0.83942,0.064363,0.66532,0.58245,1.0131e+05,-17.087,1.225
150.07,-75.914,20,300,6.9114,-3.606,-0.7517,7.8686,0.63894,0.059703,0.55741,0.44334,1.0131e+05,-19.368,1.225
143.82,-76.212,20,300,6.7572,-3.8357,-0.24806,7.8174,0.72946,0.065953,0.62804,0.50615,1.0131e+05,-16.544,1.225
137.82,-64.806,20,300,6.0631,-4.3865,-1.4241,7.6314,0.45083,0.056869,0.4584,0.31282,1.0131e+05,-16.704,1.225
137.74,-70.26,20,300,6.3649,-4.2076,-0.63559,7.7037,0.62393,0.068825,0.59313,0.43293,1.0131e+05,-14.929,1.225
131.59,-64.851,20,300,5.8395,-4.3732,-0.80897,7.3954,0.54604,0.075875,0.58226,0.37888,1.0131e+05,-11.968,1.225
131.51,-70.288,20,300,5.9378,-3.9622,-0.024801,7.2099,0.72897,0.09038,0.73333,0.50581,1.0131e+05,-10.55,1.225
125.25,-70.323,20,300,5.3734,-3.1034,0.55113,6.3599,0.91532,0.12804,0.97346,0.63512,1.0132e+05,-5.438,1.225
143.87,-70.772,20,300,6.6493,-3.9924,-1.2075,7.8987,0.55475,0.061578,0.52665,0.38493,1.0131e+05,-18.732,1.225
143.98,-65.406,20,300,6.316,-3.7615,-2.1583,7.6988,0.39148,0.065783,0.44954,0.27164,1.013e+05,-21.503,1.225
140.85,-65.106,20,300,6.1693,-4.1686,-1.9354,7.7136,0.42532,0.055091,0.43801,0.29512,1.0131e+05,-19.392,1.225
150.1,-70.433,20,300,6.7054,-3.3902,-1.5982,7.7329,0.45963,0.067533,0.49167,0.31893,1.013e+05,-21.813,1.225
156.27,-86.56,20,300,7.1098,-2.6666,0.69165,7.6728,0.96827,0.064377,0.71406,0.67186,1.0131e+05,-16.399,1.225
156.28,-81.12,20,300,7.0273,-3.1198,-0.11015,7.7271,0.76252,0.055912,0.59056,0.52909,1.0131e+05,-18.897,1.225
162.44,-87.105,20,300,7.0235,-2.5144,0.5151,7.5214,0.92758,0.055035,0.64591,0.64363,1.0131e+05,-17.458,1.225
162.43,-81.64,20,300,6.9891,-2.8126,-0.30271,7.5709,0.70217,0.050637,0.53836,0.48722,1.0131e+05,-19.633,1.225
156.28,-75.677,20,300,6.9431,-3.185,-1.0224,7.7351,0.55792,0.05812,0.51086,0.38713,1.013e+05,-21.111,1.225
162.42,-76.164,20,300,6.7961,-2.6958,-1.0617,7.4088,0.49953,0.056678,0.475,0.34661,1.013e+05,-21.506,1.225
168.76,-86.836,20,300,6.8849,-2.3445,0.32101,7.3178,0.87959,0.0476,0.58475,0.61033,1.0131e+05,-17.963,1.225
168.75,-81.394,20,300,6.8257,-2.4965,-0.44072,7.3036,0.64637,0.046532,0.49415,0.4485,1.0131e+05,-19.59,1.225
174.92,-81.135,20,300,6.6064,-2.2208,-0.50172,7.0035,0.61454,0.042786,0.46161,0.42641,1.0131e+05,-18.996,1.225
174.89,-75.697,20,300,6.0935,-1.9301,-0.8927,6.4636,0.45368,0.050566,0.42822,0.31479,1.0131e+05,-19.837,1.225
168.73,-75.953,20,300,6.4565,-2.2444,-0.99242,6.9208,0.45919,0.054198,0.44503,0.31862,1.013e+05,-20.935,1.225
162.41,-70.69,20,300,5.9366,-1.9403,-1.2533,6.4072,0.3595,0.080054,0.47069,0.24945,1.013e+05,-22.977,1.225
162.42,-65.284,20,300,4.2766,-0.84441,-0.79655,4.5562,0.28089,0.11272,0.50472,0.1949,1.013e+05,-25.89,1.225
156.28,-70.233,20,300,6.4745,-2.6296,-1.5806,7.212,0.38685,0.077117,0.47744,0.26842,1.013e+05,-23.237,1.225
156.28,-64.788,20,300,5.5677,-1.5494,-1.811,6.0898,0.27805,0.11213,0.49895,0.19294,1.013e+05,-28.063,1.225
159.33,-64.956,20,300,4.724,-0.92926,-1.2386,5.035,0.27773,0.12255,0.52286,0.19271,1.013e+05,-27.885,1.225
168.7,-70.522,20,300,5.2479,-1.4795,-0.89064,5.5511,0.36416,0.07671,0.46753,0.25268,1.013e+05,-21.596,1.225
168.66,-65.113,20,300,3.0987,-0.89458,0.019268,3.4308,0.34764,0.10463,0.54234,0.24122,1.013e+05,-22.425,1.225
165.53,-65.391,20,300,3.4002,-0.72578,-0.17745,3.7024,0.30914,0.11445,0.53367,0.21451,1.013e+05,-24.725,1.225
174.85,-70.257,20,300,4.795,-1.2982,-0.74564,5.047,0.40426,0.069841,0.47348,0.28051,1.0131e+05,-19.948,1.225
199.92,-59.739,20,300,4.3552,0.078636,-2.3021,4.955,0.7652,0.069983,0.65725,0.53095,1.0131e+05,-16.511,1.225
199.87,-54.347,20,300,3.2458,0.48841,-1.5063,3.6704,0.79981,0.072841,0.68438,0.55497,1.0131e+05,-17.609,1.225
206.08,-59.532,20,300,4.239,0.05706,-2.2121,4.8064,0.76103,0.058919,0.60269,0.52806,1.0131e+05,-15.846,1.225
206.07,-54.121,20,300,3.0319,0.35034,-1.4314,3.4405,0.80579,0.058959,0.61895,0.55912,1.0131e+05,-16.887,1.225
206.1,-64.945,20,300,4.8232,-0.36451,-2.1591,5.3197,0.87484,0.049423,0.59215,0.60703,1.0131e+05,-15.181,1.225
212.36,-64.96,20,300,4.8548,-0.35201,-2.17,5.3462,0.8767,0.043512,0.55602,0.60832,1.0131e+05,-14.537,1.225
212.34,-59.546,20,300,4.0998,-0.024852,-2.0903,4.6287,0.75171,0.04901,0.54747,0.52159,1.0131e+05,-15.213,1.225
212.32,-54.135,20,300,2.8804,0.16706,-1.3739,3.2788,0.80605,0.046891,0.55285,0.5593,1.0131e+05,-16.219,1.225
218.62,-64.971,20,300,4.8896,-0.37841,-2.1649,5.3746,0.86632,0.038334,0.51912,0.60112,1.0131e+05,-13.981,1.225
218.6,-59.558,20,300,4.0442,-0.14196,-2.0226,4.5543,0.74988,0.041075,0.50133,0.52033,1.0131e+05,-14.636,1.225
224.86,-59.567,20,300,4.1178,-0.26393,-2.0315,4.6298,0.76089,0.035738,0.4713,0.52796,1.0131e+05,-14.057,1.225
224.84,-54.155,20,300,3.0018,-0.16391,-1.4972,3.4329,0.83333,0.034161,0.48151,0.57823,1.0131e+05,-14.942,1.225
218.58,-54.146,20,300,2.8719,-0.014871,-1.3973,3.2775,0.81408,0.038664,0.50566,0.56487,1.0131e+05,-15.595,1.225
212.3,-48.725,20,300,2.0666,0.21754,-0.77308,2.3638,0.8939,0.037762,0.52419,0.62026,1.0131e+05,-16.758,1.225
206.05,-48.712,20,300,1.9479,0.35673,-0.69815,2.249,0.88061,0.044164,0.56026,0.61104,1.0131e+05,-17.47,1.225
212.27,-43.316,20,300,1.4891,0.3494,-0.23906,1.6985,0.93255,0.031747,0.49074,0.64708,1.0131e+05,-16.734,1.225
206.03,-43.302,20,300,1.2968,0.45946,-0.083653,1.4677,0.93542,0.031631,0.49143,0.64907,1.0131e+05,-17.551,1.225
199.87,-48.971,20,300,1.8829,0.46009,-0.63541,2.186,0.85376,0.051545,0.59198,0.59241,1.0131e+05,-18.293,1.225
218.53,-43.329,20,300,1.7484,0.34078,-0.36587,1.9402,0.96652,0.030767,0.49062,0.67064,1.0131e+05,-16.161,1.225
218.56,-48.736,20,300,2.237,0.10645,-0.88764,2.5381,0.90688,0.033614,0.49874,0.62926,1.0131e+05,-16.128,1.225
224.82,-48.745,20,300,2.4382,0.031767,-1.0301,2.7582,0.9261,0.031442,0.48711,0.6426,1.0131e+05,-15.479,1.225
-19.217,-21.818,20,300,7.8492,-0.10775,0.46827,7.8663,0.30622,0.00018073,0.021175,0.21248,1.0135e+05,28.509,1.225
-19.281,-16.283,20,300,7.8721,0.15104,0.46395,7.8885,0.30798,0.00017956,0.021156,0.2137,1.0135e+05,28.242,1.225
-12.945,-21.816,20,300,7.3967,-0.11599,0.55375,7.422,0.29759,0.00026545,0.025097,0.20649,1.0136e+05,32.291,1.225
-13.02,-16.289,20,300,7.3819,0.24362,0.5487,7.4096,0.2972,0.0002768,0.025548,0.20622,1.0136e+05,32.07,1.225
-25.537,-16.278,20,300,8.162,0.10103,0.40351,8.1733,0.3072,0.00014817,0.019249,0.21316,1.0135e+05,25.1,1.225
-25.574,-10.659,20,300,8.2967,0.22573,0.3863,8.31,0.30966,0.00013971,0.018758,0.21487,1.0135e+05,23.487,1.225
-19.324,-10.655,20,300,7.9811,0.3601,0.45822,8.0042,0.3119,0.00017068,0.020746,0.21642,1.0135e+05,27.115,1.225
-13.082,-10.656,20,300,7.5649,0.57043,0.5415,7.6096,0.3015,0.00026111,0.024959,0.20921,1.0136e+05,30.243,1.225
-3.6588,-16.321,20,300,6.1019,0.31918,0.68241,6.1567,0.29977,0.0012004,0.052383,0.20801,1.0137e+05,43.616,1.225
-3.5847,-19.129,20,300,6.2214,-0.10328,0.70723,6.2649,0.30739,0.00093375,0.047378,0.21329,1.0137e+05,42.677,1.225
-0.55959,-16.349,20,300,5.3427,0.20786,0.71316,5.4059,0.27266,0.0029168,0.078962,0.18919,1.0137e+05,49.284,1.225
-0.47813,-19.168,20,300,5.67,-0.40671,0.73971,5.7398,0.28151,0.0019572,0.065936,0.19533,1.0137e+05,46.702,1.225
-0.50579,-17.784,20,300,5.3996,-0.22341,0.7254,5.455,0.27824,0.0025453,0.075309,0.19307,1.0137e+05,49.141,1.225
-3.5239,-21.859,20,300,6.3635,-0.31086,0.71838,6.415,0.31241,0.00076475,0.043704,0.21677,1.0137e+05,41.261,1.225
-6.6538,-21.837,20,300,6.819,-0.21072,0.65706,6.859,0.33138,0.00049418,0.036289,0.22994,1.0136e+05,37.541,1.225
-6.692,-19.118,20,300,6.6441,0.016894,0.66649,6.6784,0.33023,0.00056939,0.039047,0.22914,1.0136e+05,39.353,1.225
-6.7604,-16.318,20,300,6.7041,0.3182,0.63898,6.7467,0.33052,0.0005816,0.039257,0.22934,1.0136e+05,38.876,1.225
-25.597,-5.1809,20,300,8.3456,0.37124,0.39164,8.3639,0.31376,0.0001388,0.018803,0.21771,1.0135e+05,23.013,1.225
-19.359,-5.1704,20,300,8.1516,0.5267,0.45169,8.1825,0.31526,0.00016129,0.020275,0.21875,1.0135e+05,25.179,1.225
-19.373,0.31656,20,300,8.3601,0.6264,0.43993,8.3964,0.32078,0.00014864,0.019597,0.22259,1.0135e+05,23.09,1.225
-13.067,0.46937,20,300,8.2216,0.88234,0.52475,8.2875,0.31735,0.00018857,0.021875,0.2202,1.0135e+05,24.152,1.225
-13.118,-5.123,20,300,7.8933,0.79982,0.53445,7.9546,0.30892,0.00022711,0.023608,0.21435,1.0135e+05,27.165,1.225
205.95,27.044,20,300,0.23849,-0.90331,0.40791,1.1183,1.6696,0.018295,0.49567,1.1585,1.0131e+05,-17.463,1.225
206,21.629,20,300,1.0032,-0.85107,0.89711,1.621,1.3675,0.01474,0.4054,0.94889,1.0131e+05,-17.183,1.225
212.23,27.04,20,300,0.32904,-0.49271,0.33682,0.78076,1.7012,0.02072,0.53145,1.1804,1.0131e+05,-17.996,1.225
212.23,21.626,20,300,1.0726,-0.55174,0.79399,1.4724,1.4029,0.018119,0.45309,0.97343,1.0131e+05,-17.605,1.225
199.78,27.234,20,300,0.062183,-1.2524,0.46552,1.432,1.6112,0.016755,0.46712,1.118,1.0131e+05,-16.728,1.225
200.45,32.751,20,300,-0.53988,-1.3641,0.097672,1.5253,1.7714,0.018664,0.51723,1.2291,1.0131e+05,-16.888,1.225
205.92,32.453,20,300,-0.3713,-0.97931,0.086201,1.1191,1.8017,0.019758,0.53577,1.2501,1.0131e+05,-17.541,1.225
212.23,32.449,20,300,-0.24486,-0.53742,0.092305,0.69455,1.7696,0.02189,0.55801,1.2279,1.0131e+05,-18.075,1.225
218.5,21.622,20,300,1.0221,-0.12656,0.67073,1.2737,1.4947,0.023045,0.52693,1.0371,1.0131e+05,-17.819,1.225
218.51,27.037,20,300,0.35293,-0.048437,0.24569,0.57299,1.7153,0.025488,0.59082,1.1902,1.0131e+05,-18.331,1.225
224.78,27.036,20,300,0.34026,0.32192,0.047111,0.6167,1.6776,0.033636,0.67087,1.1641,1.0131e+05,-18.63,1.225
224.8,32.45,20,300,-0.17771,0.327,-0.059949,0.55017,1.6497,0.031459,0.64419,1.1447,1.0131e+05,-19.049,1.225
218.52,32.449,20,300,-0.18431,-0.08437,0.066222,0.44652,1.7225,0.02568,0.5954,1.1952,1.0131e+05,-18.537,1.225
200.72,37.919,20,300,-0.98071,-1.4791,-0.1722,1.8093,1.8044,0.019335,0.53232,1.2521,1.0131e+05,-16.688,1.225
207.02,38.105,20,300,-0.82771,-1.098,-0.14237,1.4178,1.8721,0.019304,0.54187,1.299,1.0131e+05,-17.304,1.225
206.86,43.28,20,300,-1.1614,-1.2422,-0.36235,1.7599,1.9024,0.018795,0.53979,1.32,1.0131e+05,-16.844,1.225
213.12,43.439,20,300,-1.0015,-0.78059,-0.23663,1.3332,1.959,0.019006,0.55149,1.3593,1.0131e+05,-17.448,1.225
212.25,37.852,20,300,-0.68081,-0.63926,-0.05627,0.99038,1.845,0.02076,0.55724,1.2802,1.0131e+05,-17.869,1.225
224.82,37.86,20,300,-0.53808,0.3123,0.01957,0.72892,1.6837,0.027487,0.61092,1.1683,1.0131e+05,-19.062,1.225
218.54,37.856,20,300,-0.58531,-0.15493,0.012673,0.70097,1.7716,0.023562,0.58082,1.2293,1.0131e+05,-18.435,1.225
218.58,43.258,20,300,-0.86266,-0.30021,-0.093725,0.99485,1.907,0.021008,0.57158,1.3232,1.0131e+05,-18.073,1.225
87.459,64.816,20,300,-1.2812,1.719,2.4766,3.4502,0.75093,0.14892,0.94479,0.52105,1.0132e+05,-8.2888,1.225
81.204,64.858,20,300,-1.2595,0.4978,2.4445,3.2419,0.55612,0.23142,0.98728,0.38588,1.0132e+05,-5.3111,1.225
87.447,70.244,20,300,1.5072,1.2801,2.2985,3.7736,0.64905,0.17361,0.93382,0.45036,1.0132e+05,-4.3357,1.225
81.217,70.27,20,300,3.1567,0.92739,2.0584,4.8187,0.43314,0.24625,0.91304,0.30055,1.0132e+05,-2.179,1.225
74.987,70.281,20,300,6.2189,1.5055,1.662,6.8648,0.22153,0.20225,0.6032,0.15371,1.0132e+05,-1.7348,1.225
75.005,75.706,20,300,9.0317,2.8716,1.2431,9.5699,0.10657,0.042382,0.17273,0.073943,1.0132e+05,-2.4214,1.225
81.227,75.693,20,300,7.6773,2.4575,1.4857,8.2362,0.18761,0.092823,0.37241,0.13018,1.0132e+05,-1.8303,1.225
87.448,75.672,20,300,5.9249,2.0828,1.7667,6.6335,0.3478,0.1257,0.59386,0.24133,1.0132e+05,-3.6264,1.225
93.653,70.208,20,300,1.5389,0.92628,2.2841,3.1801,0.86965,0.1245,0.91486,0.60343,1.0131e+05,-10.795,1.225
93.671,64.779,20,300,-0.023631,1.2922,1.7847,2.649,1.0358,0.1276,1.0258,0.71869,1.0131e+05,-13.384,1.225
99.834,70.168,20,300,1.5299,-0.034466,1.8737,2.549,1.0112,0.087625,0.83595,0.70163,1.0131e+05,-14.828,1.225
99.858,75.603,20,300,3.7945,0.70852,2.1073,4.6226,0.70787,0.11296,0.79652,0.49117,1.0131e+05,-13.208,1.225
93.659,75.641,20,300,4.708,1.5037,2.0288,5.521,0.53631,0.12364,0.73008,0.37213,1.0132e+05,-9.1196,1.225
75.011,81.133,20,300,9.8398,2.9105,1.0172,10.317,0.16995,0.0045124,0.059136,0.11792,1.0132e+05,-1.4736,1.225
81.233,81.12,20,300,9.6424,2.9298,1.1139,10.148,0.14092,0.017231,0.1064,0.097784,1.0132e+05,-2.5516,1.225
81.238,86.549,20,300,10.068,2.6609,0.91741,10.458,0.22755,0.0018796,0.04783,0.15789,1.0132e+05,-1.8046,1.225
87.464,86.533,20,300,10.117,2.7467,0.96437,10.533,0.16605,0.0063268,0.067683,0.11522,1.0132e+05,-3.7097,1.225
87.456,81.101,20,300,9.0777,2.8433,1.2519,9.6081,0.15269,0.041178,0.21832,0.10595,1.0132e+05,-4.3849,1.225
99.886,81.043,20,300,7.333,1.9339,1.5802,7.7909,0.39073,0.084999,0.52164,0.27112,1.0131e+05,-10.83,1.225
93.673,81.076,20,300,8.2599,2.5115,1.4099,8.77,0.2574,0.065125,0.36938,0.1786,1.0132e+05,-7.9044,1.225
93.688,86.512,20,300,10.036,2.7112,1.0183,10.451,0.13725,0.015631,0.11563,0.095236,1.0132e+05,-6.1139,1.225
23.502,-49.392,20,300,-0.27093,-0.52716,0.12236,1.4779,0.34033,0.9113,1.476,0.23615,1.0129e+05,-32.471,1.225
