"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
225,-260,20,300,9.4863,-0.0085384,0.019183,9.4864,0.29718,0.00012316,0.018903,0.20621,1.0132e+05,-3.6519,1.225
250.01,-238.39,20,300,9.4908,-0.00098356,0.014406,9.4909,0.30346,0.00012958,0.019584,0.21057,1.0132e+05,-3.7175,1.225
250,-260,20,300,9.4847,-0.0024856,0.013643,9.4847,0.30257,0.00012939,0.019546,0.20995,1.0132e+05,-3.6504,1.225
275.01,-238.38,20,300,9.4776,0.012846,0.0085366,9.4776,0.30868,0.00013597,0.02023,0.21419,1.0132e+05,-3.5527,1.225
275,-260,20,300,9.4723,0.0033974,0.0079629,9.4723,0.30778,0.00013577,0.020191,0.21356,1.0132e+05,-3.5014,1.225
300,-238.33,20,300,9.4554,0.025036,0.0026431,9.4554,0.31379,0.00014245,0.020875,0.21773,1.0132e+05,-3.2655,1.225
300,-260,20,300,9.4508,0.0080083,0.0021364,9.4508,0.31289,0.00014224,0.020835,0.21711,1.0132e+05,-3.2281,1.225
325,-238.33,20,300,9.4261,0.033968,-0.0032016,9.4262,0.31879,0.00014897,0.021515,0.2212,1.0132e+05,-2.8883,1.225
325,-260,20,300,9.4223,0.011319,-0.0036797,9.4223,0.31788,0.00014876,0.021475,0.22057,1.0132e+05,-2.8607,1.225
350,-238.33,20,300,9.3926,0.039921,-0.0083033,9.3927,0.32361,0.00015556,0.02215,0.22455,1.0132e+05,-2.4601,1.225
350,-260,20,300,9.3896,0.013918,-0.0086633,9.3896,0.32271,0.00015536,0.022111,0.22392,1.0132e+05,-2.4413,1.225
375,-238.33,20,300,9.3572,0.043918,-0.012308,9.3574,0.32832,0.00016222,0.022782,0.22782,1.0132e+05,-2.0161,1.225
375,-260,20,300,9.3549,0.015691,-0.012542,9.3549,0.32743,0.00016203,0.022744,0.2272,1.0132e+05,-2.0052,1.225
400,-238.33,20,300,9.3216,0.046225,-0.015557,9.3218,0.33293,0.00016895,0.023411,0.23101,1.0132e+05,-1.5771,1.225
400,-260,20,300,9.3199,0.016742,-0.015693,9.3199,0.33206,0.00016878,0.023375,0.23041,1.0132e+05,-1.5723,1.225
425,-238.33,20,300,9.2867,0.047259,-0.018186,9.2869,0.33745,0.00017578,0.02404,0.23415,1.0132e+05,-1.155,1.225
425,-260,20,300,9.2853,0.017267,-0.018254,9.2853,0.3366,0.00017563,0.024006,0.23356,1.0132e+05,-1.1546,1.225
450,-238.33,20,300,9.2542,0.047528,-0.020651,9.2544,0.34186,0.00018268,0.024666,0.23721,1.0132e+05,-0.75491,1.225
450,-260,20,300,9.2531,0.017479,-0.020671,9.2531,0.34104,0.00018255,0.024635,0.23664,1.0132e+05,-0.75662,1.225
475,-238.33,20,300,9.2185,0.0474,-0.023284,9.2187,0.34629,0.00018985,0.025307,0.24028,1.0132e+05,-0.39631,1.225
475,-260,20,300,9.2173,0.017582,-0.023265,9.2174,0.34551,0.00018975,0.025279,0.23974,1.0132e+05,-0.39801,1.225
500,-238.33,20,300,9.7063,0.049973,-0.025137,9.7065,0.38163,0.00019357,0.025637,0.26481,1.0132e+05,-0.012204,1.225
500,-260,20,300,9.7051,0.018665,-0.025097,9.7051,0.38086,0.00019348,0.02561,0.26427,1.0132e+05,-0.012272,1.225
-300,-216.67,20,300,9.5,0,0,9.5,0.0019044,0.12361,0.015027,0.0013214,1.0133e+05,3.3239,1.225
-275,-216.67,20,300,8.9989,-0.0039014,0.006204,8.9989,0.19477,0.0013915,0.0089896,0.13515,1.0133e+05,3.3191,1.225
-250,-216.67,20,300,8.9984,-0.0078433,0.0072558,8.9984,0.19877,4.5972e-05,0.0090985,0.13792,1.0133e+05,3.311,1.225
-225,-216.67,20,300,8.9979,-0.012588,0.0087445,8.9979,0.20281,4.5325e-05,0.0094735,0.14073,1.0133e+05,3.3041,1.225
-200,-216.66,20,300,8.998,-0.018419,0.010671,8.998,0.20697,4.8018e-05,0.009862,0.14361,1.0133e+05,3.2922,1.225
-175,-216.66,20,300,8.9993,-0.025806,0.012953,8.9993,0.21128,5.0882e-05,0.010265,0.1466,1.0133e+05,3.2668,1.225
-150,-216.66,20,300,9.0024,-0.035172,0.015517,9.0025,0.21575,5.3909e-05,0.010683,0.1497,1.0133e+05,3.2181,1.225
-125,-216.66,20,300,9.0086,-0.046897,0.018357,9.0088,0.22039,5.7108e-05,0.011117,0.15293,1.0133e+05,3.1325,1.225
-99.995,-216.66,20,300,9.0192,-0.061251,0.021547,9.0195,0.22522,6.0488e-05,0.011569,0.15627,1.0133e+05,2.9923,1.225
-74.994,-216.66,20,300,9.036,-0.078143,0.025061,9.0364,0.23023,6.4058e-05,0.012037,0.15975,1.0133e+05,2.7752,1.225
-49.995,-216.66,20,300,9.0605,-0.096835,0.028713,9.0611,0.23544,6.7829e-05,0.012525,0.16337,1.0133e+05,2.4568,1.225
-24.995,-216.66,20,300,9.0938,-0.11534,0.032263,9.0946,0.24085,7.1808e-05,0.013032,0.16712,1.0133e+05,2.0164,1.225
-0.067824,-216.94,20,300,9.1356,-0.13121,0.035426,9.1367,0.24642,7.6004e-05,0.013558,0.17098,1.0133e+05,1.4454,1.225
25.037,-216.95,20,300,9.1847,-0.14367,0.038117,9.186,0.25219,8.0435e-05,0.014105,0.17499,1.0133e+05,0.76181,1.225
50.004,-216.66,20,300,9.2385,-0.15116,0.040162,9.24,0.25814,8.5102e-05,0.014673,0.17912,1.0132e+05,-0.0026928,1.225
75.004,-216.66,20,300,9.2935,-0.15258,0.041333,9.295,0.2642,8.9999e-05,0.015258,0.18332,1.0132e+05,-0.7998,1.225
